Customer_ID,Customer_Name,Customer_Type,Mobile,Email,Address_ID,Publisher
CUUS00001,"Young, Gonzalez and Brewer",E-commerce,496-796-4510,emily35@brown.com,AUS09727,ERP
CUUS00002,Carter LLC,E-commerce,1-900-189-2975,jeremyhays@marsh.com,AUS01457,ERP
CUUS00003,"Mendez, Brandt and Ferguson",Retailer,084.978.4940,pottermatthew@bowen.biz,AUS01973,ERP
CUUS00004,Kim-Wilkins,E-commerce,(076) 893-5204,hnash@jones.com,AUS01422,CRM
CUUS00005,Anderson-Martinez,Distributor,(677) 638-3364,ramirezpamela@dorsey.com,AUS02480,ERP
CUUS00006,Nichols-Mann,Distributor,(572) 688-0647,linda68@joseph-freeman.com,AUS00688,ERP
CUUS00007,Reynolds Inc,Retailer,3083518327,mcross@koch.com,AUS02047,CRM
CUUS00008,Norris-Jones,Distributor,1-507-298-9083,steven90@norton.org,AUS00472,CRM
CUUS00009,Dougherty-Morgan,Distributor,1-632-730-1542,ericabarber@jones.com,AUS09538,ERP
CUUS00010,"Reeves, Chan and Padilla",Retailer,1589638494,anthonycastro@morris-george.com,AUS03729,Web
CUUS00011,Norris and Sons,Distributor,515.459.6332,joconnell@gonzalez.info,AUS09449,Web
CUUS00012,Martinez-Burns,E-commerce,1-185-719-7965,mcooper@rivas-wilkinson.com,AUS00503,CRM
CUUS00013,"Fowler, Lozano and Campos",Distributor,(820) 365-7157,fordmichael@moore-brown.com,AUS03454,ERP
CUUS00014,Lawson PLC,Distributor,(722) 173-4987,pmunoz@henson.net,AUS07004,ERP
CUUS00015,Smith Inc,Retailer,1-886-425-8934,petermcguire@mcknight-williams.com,AUS09385,ERP
CUUS00016,Robertson Ltd,E-commerce,504-731-1272,nicolephillips@moore.org,AUS04322,Web
CUUS00017,Flores Group,E-commerce,185-887-6497,robertsonelizabeth@stone.com,AUS04422,CRM
CUUS00018,Frey Group,Retailer,6457228703,bleonard@crawford-knox.net,AUS00752,ERP
CUUS00019,Odom-Medina,E-commerce,(717) 931-2256,fergusonkatrina@leon.com,AUS09806,Web
CUUS00020,Camacho and Sons,Distributor,1-410-147-9106,xmason@johnson.com,AUS07467,ERP
CUUS00021,Williams LLC,E-commerce,1-473-238-6358,lewiskevin@ball.com,AUS03227,ERP
CUUS00022,"Davidson, Wilson and Bates",Distributor,(405) 214-5724,erin93@stevenson.biz,AUS02832,Web
CUUS00023,Brewer Group,Distributor,510.904.2287,john50@west-lewis.com,AUS07265,Web
CUUS00024,Ramos and Sons,Retailer,3504292104,henry96@petersen.com,AUS00342,ERP
CUUS00025,"Brown, Bailey and Williams",Retailer,1-845-79-5066,codypalmer@crosby-rogers.com,AUS03539,ERP
CUUS00026,"Mcmillan, Dickson and Tucker",E-commerce,150.400.7776,lucasreginald@miller.org,AUS00465,Web
CUUS00027,Martin and Sons,E-commerce,(841) 249-5266,elizabeth31@perez.com,AUS06227,Web
CUUS00028,Lee Ltd,Retailer,(634) 517-0700,john98@payne-hoover.com,AUS05359,ERP
CUUS00029,Mitchell-Vaughn,E-commerce,614.526.4180,owood@cole.org,AUS03820,CRM
CUUS00030,"Wright, Gillespie and Kaufman",Retailer,4629923305,fgriffin@weiss.com,AUS00484,ERP
CUUS00031,Blackwell-Clark,Distributor,3915611607,philiplang@mcintosh-flynn.org,AUS06420,ERP
CUUS00032,Peck and Sons,Distributor,530.315.4475,michaelcollins@burns-bell.com,AUS06825,Web
CUUS00033,"Smith, Jackson and Fischer",E-commerce,5820174369,rvillanueva@hernandez.com,AUS08923,CRM
CUUS00034,"Riley, Butler and Kelley",Distributor,1-590-865-6885,zrobertson@poole.org,AUS00226,ERP
CUUS00035,Cunningham Ltd,E-commerce,(705) 058-8447,tiffany90@reed-brown.biz,AUS02455,CRM
CUUS00036,Campbell-Hogan,E-commerce,672.203.8124,jake24@savage-murphy.net,AUS01585,CRM
CUUS00037,Snow PLC,Distributor,1-202-42-3165,hsmith@lamb-smith.com,AUS05439,ERP
CUUS00038,Graham and Sons,E-commerce,1-512-461-9293,alexanderwilkinson@deleon.net,AUS03056,Web
CUUS00039,Mckinney-Hughes,Retailer,358-850-8885,brianmiller@kramer.com,AUS02683,CRM
CUUS00040,Williams-Benson,E-commerce,1-932-763-5678,brian83@gilmore.com,AUS03957,ERP
CUUS00041,Campbell PLC,Retailer,385.825.4810,nadams@brown.com,AUS07135,CRM
CUUS00042,Bryan-Jones,E-commerce,(504) 425-5131,victoriabrown@gross.com,AUS07649,ERP
CUUS00043,Dillon-Harris,Retailer,082.326.0102,xstone@pierce.net,AUS01354,ERP
CUUS00044,Smith and Sons,Distributor,392.986.3527,tina68@mccoy-may.biz,AUS07745,Web
CUUS00045,Gonzalez-Barrett,E-commerce,1-221-311-2862,heathermays@gardner-clark.com,AUS00116,Web
