Inventory_ID,Product_ID,Warehouse_ID,Quantity
IUS0001,PRUS04553,WUS00001,18.0
IUS0002,PRUS07162,WUS00002,1.0
IUS0003,PRUS01792,WUS00003,355.0
IUS0004,PRUS05027,WUS00004,354.0
IUS0005,PRUS05903,WUS00005,134.0
IUS0006,PRUS01611,WUS00006,139.0
IUS0007,PRUS07191,WUS00007,438.0
IUS0008,PRUS04916,WUS00008,242.0
IUS0009,PRUS05546,WUS00009,211.988
IUS0010,PRUS07929,WUS00010,353.0
IUS0011,PRUS05851,WUS00011,255.0
IUS0012,PRUS09590,WUS00012,334.0
IUS0013,PRUS07386,WUS00013,337.0
IUS0014,PRUS04666,WUS00014,18.0
IUS0015,PRUS06832,WUS00015,262.0
IUS0016,PRUS09213,WUS00016,44.0
IUS0017,PRUS01239,WUS00001,161.0
IUS0018,PRUS07201,WUS00002,10.0
IUS0019,PRUS08203,WUS00003,69.0
IUS0020,PRUS00153,WUS00004,81.0
IUS0021,PRUS03791,WUS00005,61.0
IUS0022,PRUS07184,WUS00006,434.0
IUS0023,PRUS00388,WUS00007,286.0
IUS0024,PRUS00237,WUS00008,341.0
IUS0025,PRUS09467,WUS00009,442.0
IUS0026,PRUS04695,WUS00010,428.0
IUS0027,PRUS09021,WUS00011,223.0
IUS0028,PRUS05239,WUS00012,158.0
IUS0029,PRUS03044,WUS00013,301.0
IUS0030,PRUS01618,WUS00014,230.0
IUS0031,PRUS03567,WUS00015,150.0
IUS0032,PRUS08798,WUS00016,307.0
IUS0033,PRUS05496,WUS00001,252.0
IUS0034,PRUS08798,WUS00002,114.0
IUS0035,PRUS01536,WUS00003,445.0
IUS0036,PRUS06607,WUS00004,139.0
IUS0037,PRUS07048,WUS00005,195.0
IUS0038,PRUS07635,WUS00006,254.0
IUS0039,PRUS01931,WUS00007,29.0
IUS0040,PRUS03482,WUS00008,435.0
IUS0041,PRUS08388,WUS00009,492.0
IUS0042,PRUS08577,WUS00010,474.0
IUS0043,PRUS07611,WUS00011,17.0
IUS0044,PRUS01570,WUS00012,314.0
IUS0045,PRUS08942,WUS00013,259.0
IUS0046,PRUS00326,WUS00014,241.0
IUS0047,PRUS03823,WUS00015,70.0
IUS0048,PRUS01913,WUS00016,190.0
IUS0049,PRUS05939,WUS00001,58.0
IUS0050,PRUS04284,WUS00002,474.0
IUS0051,PRUS09594,WUS00003,185.0
IUS0052,PRUS09781,WUS00004,174.0
IUS0053,PRUS06120,WUS00005,145.0
IUS0054,PRUS09009,WUS00006,229.0
IUS0055,PRUS05722,WUS00007,7.0
IUS0056,PRUS08976,WUS00008,176.0
IUS0057,PRUS06363,WUS00009,229.0
IUS0058,PRUS09607,WUS00010,99.0
IUS0059,PRUS05138,WUS00011,105.0
IUS0060,PRUS06428,WUS00012,475.0
IUS0061,PRUS04422,WUS00013,357.0
IUS0062,PRUS08736,WUS00014,25.0
IUS0063,PRUS07786,WUS00015,403.0
IUS0064,PRUS00303,WUS00016,317.0
IUS0065,PRUS00342,WUS00001,449.0
IUS0066,PRUS05689,WUS00002,200.0
IUS0067,PRUS01877,WUS00003,9.0
IUS0068,PRUS08508,WUS00004,215.0
IUS0069,PRUS07904,WUS00005,191.0
IUS0070,PRUS09293,WUS00006,493.0
IUS0071,PRUS05545,WUS00007,286.0
IUS0072,PRUS00605,WUS00008,213.0
IUS0073,PRUS07826,WUS00009,175.0
IUS0074,PRUS09186,WUS00010,366.0
IUS0075,PRUS04787,WUS00011,228.0
IUS0076,PRUS08800,WUS00012,211.0
IUS0077,PRUS03791,WUS00013,398.0
IUS0078,PRUS06481,WUS00014,142.0
IUS0079,PRUS05846,WUS00015,9.0
IUS0080,PRUS05209,WUS00016,29.0
IUS0081,PRUS03824,WUS00001,446.0
IUS0082,PRUS00653,WUS00002,500.0
IUS0083,PRUS02915,WUS00003,172.0
IUS0084,PRUS06142,WUS00004,76.0
IUS0085,PRUS09747,WUS00005,53.0
IUS0086,PRUS02567,WUS00006,400.0
IUS0087,PRUS09799,WUS00007,51.0
IUS0088,PRUS00884,WUS00008,245.0
IUS0089,PRUS09141,WUS00009,77.0
IUS0090,PRUS07545,WUS00010,475.0
IUS0091,PRUS02508,WUS00011,456.0
IUS0092,PRUS07542,WUS00012,157.0
IUS0093,PRUS05496,WUS00013,156.0
IUS0094,PRUS04164,WUS00014,98.0
IUS0095,PRUS07763,WUS00015,56.0
IUS0096,PRUS03390,WUS00016,121.0
IUS0097,PRUS06115,WUS00001,136.0
IUS0098,PRUS06408,WUS00002,339.0
IUS0099,PRUS09639,WUS00003,324.0
IUS0100,PRUS00030,WUS00004,93.0
IUS0101,PRUS09418,WUS00005,134.0
IUS0102,PRUS08926,WUS00006,130.0
IUS0103,PRUS00098,WUS00007,450.0
IUS0104,PRUS08125,WUS00008,329.0
IUS0105,PRUS06283,WUS00009,85.0
IUS0106,PRUS02305,WUS00010,282.0
IUS0107,PRUS03733,WUS00011,476.0
IUS0108,PRUS06333,WUS00012,330.0
IUS0109,PRUS04266,WUS00013,304.0
IUS0110,PRUS03508,WUS00014,489.0
IUS0111,PRUS07421,WUS00015,138.0
IUS0112,PRUS06285,WUS00016,128.0
IUS0113,PRUS03388,WUS00001,2.0
IUS0114,PRUS08933,WUS00002,310.0
IUS0115,PRUS03378,WUS00003,49.0
IUS0116,PRUS06998,WUS00004,258.0
IUS0117,PRUS00962,WUS00005,268.0
IUS0118,PRUS09801,WUS00006,262.0
IUS0119,PRUS01496,WUS00007,293.0
IUS0120,PRUS01230,WUS00008,168.0
IUS0121,PRUS03202,WUS00009,71.0
IUS0122,PRUS05922,WUS00010,423.8
IUS0123,PRUS06731,WUS00011,394.0
IUS0124,PRUS02748,WUS00012,197.0
IUS0125,PRUS06054,WUS00013,416.0
IUS0126,PRUS00536,WUS00014,303.0
IUS0127,PRUS09422,WUS00015,449.0
IUS0128,PRUS01326,WUS00016,214.0
IUS0129,PRUS06712,WUS00001,192.0
IUS0130,PRUS07169,WUS00002,161.0
IUS0131,PRUS00713,WUS00003,368.0
IUS0132,PRUS02844,WUS00004,399.0
IUS0133,PRUS01582,WUS00005,113.0
IUS0134,PRUS04971,WUS00006,268.0
IUS0135,PRUS04966,WUS00007,66.0
IUS0136,PRUS06925,WUS00008,320.0
IUS0137,PRUS01092,WUS00009,465.0
IUS0138,PRUS03774,WUS00010,388.0
IUS0139,PRUS05622,WUS00011,275.0
IUS0140,PRUS06034,WUS00012,395.0
IUS0141,PRUS03352,WUS00013,7.0
IUS0142,PRUS07016,WUS00014,131.0
IUS0143,PRUS03766,WUS00015,204.0
IUS0144,PRUS08405,WUS00016,471.0
IUS0145,PRUS02913,WUS00001,295.0
IUS0146,PRUS00936,WUS00002,101.0
IUS0147,PRUS04997,WUS00003,398.0
IUS0148,PRUS06269,WUS00004,300.0
IUS0149,PRUS09483,WUS00005,402.0
IUS0150,PRUS05242,WUS00006,29.0
IUS0151,PRUS01517,WUS00007,298.0
IUS0152,PRUS08472,WUS00008,55.0
IUS0153,PRUS01666,WUS00009,220.0
IUS0154,PRUS08003,WUS00010,472.0
IUS0155,PRUS03620,WUS00011,133.0
IUS0156,PRUS02653,WUS00012,6.0
IUS0157,PRUS05508,WUS00013,88.0
IUS0158,PRUS03475,WUS00014,199.0
IUS0159,PRUS05556,WUS00015,241.0
IUS0160,PRUS04430,WUS00016,349.0
IUS0161,PRUS02909,WUS00001,433.0
IUS0162,PRUS05803,WUS00002,160.0
IUS0163,PRUS01839,WUS00003,194.0
IUS0164,PRUS01157,WUS00004,372.0
IUS0165,PRUS00229,WUS00005,226.0
IUS0166,PRUS01001,WUS00006,465.0
IUS0167,PRUS05100,WUS00007,97.0
IUS0168,PRUS02875,WUS00008,273.0
IUS0169,PRUS00724,WUS00009,460.0
IUS0170,PRUS09963,WUS00010,469.0
IUS0171,PRUS06185,WUS00011,455.0
IUS0172,PRUS05527,WUS00012,236.0
IUS0173,PRUS00545,WUS00013,61.0
IUS0174,PRUS05371,WUS00014,276.0
IUS0175,PRUS08869,WUS00015,47.0
IUS0176,PRUS06740,WUS00016,432.0
IUS0177,PRUS02029,WUS00001,330.0
IUS0178,PRUS01595,WUS00002,261.0
IUS0179,PRUS09587,WUS00003,385.0
IUS0180,PRUS02191,WUS00004,291.0
IUS0181,PRUS04236,WUS00005,29.0
IUS0182,PRUS07819,WUS00006,405.0
IUS0183,PRUS06398,WUS00007,247.0
IUS0184,PRUS01450,WUS00008,318.0
IUS0185,PRUS00845,WUS00009,54.0
IUS0186,PRUS03425,WUS00010,214.0
IUS0187,PRUS08552,WUS00011,423.0
IUS0188,PRUS01890,WUS00012,172.0
IUS0189,PRUS00616,WUS00013,496.0
IUS0190,PRUS04019,WUS00014,279.0
IUS0191,PRUS07830,WUS00015,252.0
IUS0192,PRUS01561,WUS00016,162.0
IUS0193,PRUS08677,WUS00001,127.0
IUS0194,PRUS08446,WUS00002,147.0
IUS0195,PRUS05806,WUS00003,24.0
IUS0196,PRUS08345,WUS00004,191.0
IUS0197,PRUS05913,WUS00005,140.0
IUS0198,PRUS02170,WUS00006,122.0
IUS0199,PRUS02671,WUS00007,201.0
IUS0200,PRUS05998,WUS00008,133.0
IUS0201,PRUS08644,WUS00009,211.0
IUS0202,PRUS03863,WUS00010,269.0
IUS0203,PRUS01979,WUS00011,325.0
IUS0204,PRUS08008,WUS00012,302.0
IUS0205,PRUS01932,WUS00013,17.0
IUS0206,PRUS06164,WUS00014,311.0
IUS0207,PRUS05042,WUS00015,429.0
IUS0208,PRUS05583,WUS00016,315.0
IUS0209,PRUS00181,WUS00001,361.0
IUS0210,PRUS09737,WUS00002,386.0
IUS0211,PRUS05309,WUS00003,31.0
IUS0212,PRUS04268,WUS00004,274.0
IUS0213,PRUS07866,WUS00005,188.0
IUS0214,PRUS07062,WUS00006,208.0
IUS0215,PRUS00029,WUS00007,467.0
IUS0216,PRUS00064,WUS00008,238.0
IUS0217,PRUS09273,WUS00009,156.0
IUS0218,PRUS04478,WUS00010,325.0
IUS0219,PRUS08114,WUS00011,358.0
IUS0220,PRUS04792,WUS00012,319.0
IUS0221,PRUS06097,WUS00013,35.0
IUS0222,PRUS02877,WUS00014,115.0
IUS0223,PRUS09215,WUS00015,448.0
IUS0224,PRUS01236,WUS00016,14.0
IUS0225,PRUS01641,WUS00001,362.0
IUS0226,PRUS01956,WUS00002,207.0
IUS0227,PRUS04924,WUS00003,472.0
IUS0228,PRUS07561,WUS00004,227.0
IUS0229,PRUS07582,WUS00005,311.0
IUS0230,PRUS07609,WUS00006,493.0
IUS0231,PRUS07892,WUS00007,35.0
IUS0232,PRUS07806,WUS00008,162.0
IUS0233,PRUS09587,WUS00009,178.0
IUS0234,PRUS07706,WUS00010,182.0
IUS0235,PRUS03068,WUS00011,317.0
IUS0236,PRUS09319,WUS00012,136.98
IUS0237,PRUS05836,WUS00013,143.0
IUS0238,PRUS08876,WUS00014,28.0
IUS0239,PRUS02412,WUS00015,35.0
IUS0240,PRUS07839,WUS00016,96.0
IUS0241,PRUS07088,WUS00001,112.0
IUS0242,PRUS05891,WUS00002,214.0
IUS0243,PRUS09527,WUS00003,373.0
IUS0244,PRUS07385,WUS00004,160.0
IUS0245,PRUS01622,WUS00005,189.0
IUS0246,PRUS02676,WUS00006,256.0
IUS0247,PRUS00242,WUS00007,427.0
IUS0248,PRUS04748,WUS00008,170.0
IUS0249,PRUS04477,WUS00009,73.0
IUS0250,PRUS09774,WUS00010,468.0
IUS0251,PRUS05822,WUS00011,479.0
IUS0252,PRUS00464,WUS00012,336.0
IUS0253,PRUS08193,WUS00013,183.0
IUS0254,PRUS06316,WUS00014,390.0
IUS0255,PRUS09433,WUS00015,349.0
IUS0256,PRUS08687,WUS00016,115.0
IUS0257,PRUS03721,WUS00001,127.0
IUS0258,PRUS02929,WUS00002,459.0
IUS0259,PRUS00568,WUS00003,220.0
IUS0260,PRUS07535,WUS00004,289.0
IUS0261,PRUS09259,WUS00005,77.0
IUS0262,PRUS04737,WUS00006,366.0
IUS0263,PRUS09730,WUS00007,167.0
