Product_ID,Category,Sub_Category,Brand,Product_Name,Supplier_ID,Status,Hazard_Class,Publisher
PRUS00001,Appliances,Refrigerators,LG,LG Model 572,SUS01117,Active,Lithium-Ion,CRM
PRUS00002,Appliances,Washing Machines,Whirlpool,Whirlpool Model 962,SUS01976,Active,Lithium-Ion,ERP
PRUS00003,Appliances,Washing Machines,Maytag,Maytag Model 744,SUS04689,Active,Lithium-Ion,CRM
PRUS00004,Appliances,Refrigerators,LG,LG Model 686,SUS01656,Active,Lithium-Ion,CRM
PRUS00005,Appliances,Refrigerators,LG,LG Model 129,SUS06890,Active,Lithium-Ion,Web
PRUS00006,Electronics,Smartphones,Apple,Apple Model 988,SUS06821,Active,Lithium-Ion,Web
PRUS00007,Appliances,Refrigerators,LG,LG Model 935,SUS06121,Active,Lithium-Ion,Web
PRUS00008,Electronics,Smartphones,Samsung,Samsung Model 104,SUS05514,Active,Lithium-Ion,CRM
PRUS00009,Electronics,Laptops,Lenovo,Lenovo Model 347,SUS08413,Active,Lithium-Ion,Web
PRUS00010,Electronics,Smartphones,Samsung,Samsung Model 173,SUS09173,Active,Lithium-Ion,Web
PRUS00011,Appliances,Washing Machines,Maytag,Maytag Model 795,SUS04726,Active,Lithium-Ion,CRM
PRUS00012,Electronics,Laptops,Lenovo,Lenovo Model 665,SUS05072,Active,Lithium-Ion,Web
PRUS00013,Appliances,Washing Machines,LG,LG Model 969,SUS09465,Active,Lithium-Ion,ERP
PRUS00014,Appliances,Refrigerators,GE,GE Model 790,SUS07680,Active,Lithium-Ion,ERP
PRUS00015,Appliances,Washing Machines,Maytag,Maytag Model 549,SUS06053,Active,Lithium-Ion,Web
PRUS00016,Electronics,Smartphones,Google,Google Model 417,SUS05552,Active,Lithium-Ion,CRM
PRUS00017,Electronics,Laptops,Dell,Dell Model 813,SUS03824,Active,Lithium-Ion,Web
PRUS00018,Appliances,Washing Machines,Maytag,Maytag Model 139,SUS03547,Active,Lithium-Ion,CRM
PRUS00019,Electronics,Laptops,Lenovo,Lenovo Model 140,SUS08740,Active,Lithium-Ion,ERP
PRUS00020,Electronics,Smartphones,Samsung,Samsung Model 266,SUS02708,Active,Lithium-Ion,CRM
PRUS00021,Appliances,Washing Machines,Maytag,Maytag Model 488,SUS02407,Active,Lithium-Ion,Web
PRUS00022,Electronics,Smartphones,Google,Google Model 539,SUS00551,Active,Lithium-Ion,ERP
PRUS00023,Appliances,Washing Machines,LG,LG Model 600,SUS06785,Active,Lithium-Ion,Web
PRUS00024,Appliances,Washing Machines,LG,LG Model 332,SUS04503,Active,Lithium-Ion,ERP
PRUS00025,Appliances,Washing Machines,LG,LG Model 262,SUS02558,Active,Lithium-Ion,Web
PRUS00026,Appliances,Washing Machines,Whirlpool,Whirlpool Model 254,SUS08395,Active,Lithium-Ion,CRM
PRUS00027,Electronics,Smartphones,Google,Google Model 308,SUS00659,Active,Lithium-Ion,ERP
PRUS00028,Electronics,Smartphones,Google,Google Model 686,SUS06959,Active,Lithium-Ion,CRM
PRUS00029,Appliances,Washing Machines,Maytag,Maytag Model 435,SUS00729,Active,Lithium-Ion,Web
PRUS00030,Electronics,Smartphones,Apple,Apple Model 406,SUS04587,Active,Lithium-Ion,CRM
PRUS00031,Electronics,Laptops,HP,HP Model 912,SUS07404,Active,Lithium-Ion,CRM
PRUS00032,Appliances,Washing Machines,Maytag,Maytag Model 233,SUS08672,Active,Lithium-Ion,CRM
PRUS00033,Electronics,Smartphones,Google,Google Model 665,SUS08947,Active,Lithium-Ion,Web
PRUS00034,Electronics,Smartphones,Samsung,Samsung Model 708,SUS01849,Active,Lithium-Ion,ERP
PRUS00035,Electronics,Laptops,HP,HP Model 656,SUS07094,Active,Lithium-Ion,ERP
PRUS00036,Appliances,Refrigerators,LG,LG Model 256,SUS04242,Active,Lithium-Ion,ERP
PRUS00037,Electronics,Smartphones,Apple,Apple Model 871,SUS01719,Active,Lithium-Ion,CRM
PRUS00038,Electronics,Laptops,HP,HP Model 641,SUS04985,Active,Lithium-Ion,CRM
PRUS00039,Electronics,Smartphones,Samsung,Samsung Model 606,SUS09907,Active,Lithium-Ion,ERP
PRUS00040,Electronics,Laptops,Lenovo,Lenovo Model 873,SUS05674,Active,Lithium-Ion,ERP
PRUS00041,Electronics,Laptops,Lenovo,Lenovo Model 492,SUS07649,Active,Lithium-Ion,ERP
PRUS00042,Appliances,Refrigerators,Whirlpool,Whirlpool Model 918,SUS04109,Active,Lithium-Ion,CRM
PRUS00043,Appliances,Washing Machines,Maytag,Maytag Model 395,SUS08763,Active,Lithium-Ion,CRM
PRUS00044,Appliances,Washing Machines,LG,LG Model 166,SUS01896,Active,Lithium-Ion,CRM
PRUS00045,Electronics,Laptops,Dell,Dell Model 687,SUS04970,Active,Lithium-Ion,ERP
PRUS00046,Electronics,Smartphones,Google,Google Model 857,SUS06844,Active,Lithium-Ion,ERP
PRUS00047,Electronics,Laptops,Dell,Dell Model 724,SUS06765,Active,Lithium-Ion,Web
PRUS00048,Appliances,Washing Machines,Whirlpool,Whirlpool Model 185,SUS07856,Active,Lithium-Ion,ERP
PRUS00049,Appliances,Washing Machines,LG,LG Model 271,SUS03741,Active,Lithium-Ion,Web
PRUS00050,Electronics,Smartphones,Apple,Apple Model 424,SUS00399,Active,Lithium-Ion,ERP
PRUS00051,Electronics,Laptops,Lenovo,Lenovo Model 227,SUS00273,Active,Lithium-Ion,ERP
PRUS00052,Appliances,Refrigerators,GE,GE Model 788,SUS04921,Active,Lithium-Ion,Web
PRUS00053,Appliances,Refrigerators,LG,LG Model 835,SUS08420,Active,Lithium-Ion,Web
PRUS00054,Electronics,Smartphones,Apple,Apple Model 859,SUS07235,Active,Lithium-Ion,Web
PRUS00055,Electronics,Laptops,Lenovo,Lenovo Model 265,SUS00016,Active,Lithium-Ion,CRM
PRUS00056,Electronics,Laptops,HP,HP Model 596,SUS04324,Active,Lithium-Ion,Web
PRUS00057,Electronics,Smartphones,Apple,Apple Model 540,SUS07073,Active,Lithium-Ion,CRM
PRUS00058,Electronics,Smartphones,Apple,Apple Model 261,SUS03713,Active,Lithium-Ion,ERP
PRUS00059,Appliances,Refrigerators,GE,GE Model 736,SUS07570,Active,Lithium-Ion,Web
PRUS00060,Appliances,Washing Machines,Whirlpool,Whirlpool Model 836,SUS07053,Active,Lithium-Ion,ERP
PRUS00061,Appliances,Washing Machines,Maytag,Maytag Model 850,SUS03399,Active,Lithium-Ion,CRM
PRUS00062,Electronics,Laptops,Lenovo,Lenovo Model 270,SUS03810,Active,Lithium-Ion,ERP
PRUS00063,Appliances,Refrigerators,GE,GE Model 184,SUS03433,Active,Lithium-Ion,ERP
PRUS00064,Appliances,Washing Machines,LG,LG Model 179,SUS07819,Active,Lithium-Ion,CRM
PRUS00065,Electronics,Smartphones,Apple,Apple Model 227,SUS07148,Active,Lithium-Ion,Web
PRUS00066,Appliances,Refrigerators,LG,LG Model 840,SUS07953,Active,Lithium-Ion,ERP
PRUS00067,Electronics,Laptops,HP,HP Model 185,SUS04913,Active,Lithium-Ion,CRM
PRUS00068,Appliances,Washing Machines,Whirlpool,Whirlpool Model 254,SUS07531,Active,Lithium-Ion,Web
PRUS00069,Appliances,Washing Machines,Maytag,Maytag Model 792,SUS07544,Active,Lithium-Ion,ERP
PRUS00070,Appliances,Refrigerators,LG,LG Model 859,SUS02726,Active,Lithium-Ion,Web
PRUS00071,Appliances,Refrigerators,GE,GE Model 250,SUS04310,Active,Lithium-Ion,Web
PRUS00072,Appliances,Refrigerators,Whirlpool,Whirlpool Model 288,SUS02025,Active,Lithium-Ion,ERP
PRUS00073,Electronics,Laptops,Lenovo,Lenovo Model 917,SUS01603,Active,Lithium-Ion,CRM
PRUS00074,Electronics,Laptops,Lenovo,Lenovo Model 938,SUS09835,Active,Lithium-Ion,Web
PRUS00075,Appliances,Washing Machines,Maytag,Maytag Model 875,SUS06740,Active,Lithium-Ion,ERP
PRUS00076,Appliances,Washing Machines,LG,LG Model 329,SUS00104,Active,Lithium-Ion,Web
PRUS00077,Electronics,Smartphones,Samsung,Samsung Model 254,SUS07160,Active,Lithium-Ion,CRM
PRUS00078,Appliances,Refrigerators,LG,LG Model 607,SUS07768,Active,Lithium-Ion,Web
PRUS00079,Electronics,Laptops,HP,HP Model 159,SUS02346,Active,Lithium-Ion,CRM
PRUS00080,Electronics,Laptops,Lenovo,Lenovo Model 927,SUS07585,Active,Lithium-Ion,ERP
PRUS00081,Appliances,Washing Machines,Maytag,Maytag Model 383,SUS09526,Active,Lithium-Ion,CRM
PRUS00082,Appliances,Refrigerators,LG,LG Model 989,SUS09327,Active,Lithium-Ion,ERP
PRUS00083,Electronics,Smartphones,Google,Google Model 179,SUS05340,Active,Lithium-Ion,CRM
PRUS00084,Appliances,Washing Machines,LG,LG Model 989,SUS03075,Active,Lithium-Ion,CRM
PRUS00085,Appliances,Refrigerators,GE,GE Model 320,SUS03144,Active,Lithium-Ion,CRM
PRUS00086,Electronics,Laptops,HP,HP Model 964,SUS00825,Active,Lithium-Ion,ERP
PRUS00087,Appliances,Refrigerators,LG,LG Model 400,SUS00355,Active,Lithium-Ion,Web
PRUS00088,Electronics,Laptops,HP,HP Model 586,SUS08459,Active,Lithium-Ion,CRM
PRUS00089,Electronics,Smartphones,Google,Google Model 436,SUS04132,Active,Lithium-Ion,ERP
PRUS00090,Electronics,Smartphones,Apple,Apple Model 693,SUS01552,Active,Lithium-Ion,Web
PRUS00091,Electronics,Smartphones,Google,Google Model 928,SUS01883,Active,Lithium-Ion,ERP
PRUS00092,Electronics,Laptops,Lenovo,Lenovo Model 711,SUS03631,Active,Lithium-Ion,Web
PRUS00093,Electronics,Smartphones,Google,Google Model 823,SUS06205,Active,Lithium-Ion,Web
PRUS00094,Appliances,Refrigerators,GE,GE Model 702,SUS07996,Active,Lithium-Ion,CRM
PRUS00095,Electronics,Smartphones,Samsung,Samsung Model 389,SUS08490,Active,Lithium-Ion,ERP
PRUS00096,Appliances,Washing Machines,LG,LG Model 359,SUS06050,Active,Lithium-Ion,CRM
PRUS00097,Appliances,Washing Machines,LG,LG Model 485,SUS03679,Active,Lithium-Ion,ERP
PRUS00098,Appliances,Washing Machines,LG,LG Model 601,SUS08068,Active,Lithium-Ion,CRM
PRUS00099,Electronics,Laptops,HP,HP Model 279,SUS03441,Active,Lithium-Ion,CRM
PRUS00100,Appliances,Washing Machines,LG,LG Model 719,SUS05340,Active,Lithium-Ion,CRM
PRUS00101,Electronics,Smartphones,Samsung,Samsung Model 108,SUS00587,Active,Lithium-Ion,Web
PRUS00102,Appliances,Refrigerators,LG,LG Model 372,SUS09667,Active,Lithium-Ion,CRM
PRUS00103,Electronics,Smartphones,Apple,Apple Model 568,SUS02072,Active,Lithium-Ion,ERP
PRUS00104,Electronics,Smartphones,Google,Google Model 785,SUS06897,Active,Lithium-Ion,Web
PRUS00105,Electronics,Laptops,Lenovo,Lenovo Model 699,SUS04893,Active,Lithium-Ion,ERP
PRUS00106,Appliances,Washing Machines,Maytag,Maytag Model 870,SUS04387,Active,Non-Hazardous,ERP
PRUS00107,Appliances,Refrigerators,Whirlpool,Whirlpool Model 211,SUS01551,Active,Non-Hazardous,ERP
PRUS00108,Electronics,Laptops,Lenovo,Lenovo Model 328,SUS02287,Active,Non-Hazardous,ERP
PRUS00109,Appliances,Refrigerators,LG,LG Model 878,SUS00155,Active,Non-Hazardous,ERP
PRUS00110,Appliances,Washing Machines,LG,LG Model 263,SUS05682,Active,Non-Hazardous,CRM
PRUS00111,Appliances,Refrigerators,GE,GE Model 775,SUS06796,Active,Non-Hazardous,ERP
PRUS00112,Electronics,Smartphones,Samsung,Samsung Model 181,SUS01527,Active,Non-Hazardous,Web
PRUS00113,Electronics,Smartphones,Samsung,Samsung Model 564,SUS08659,Active,Non-Hazardous,ERP
PRUS00114,Appliances,Washing Machines,LG,LG Model 263,SUS06856,Active,Non-Hazardous,ERP
PRUS00115,Electronics,Laptops,HP,HP Model 705,SUS04175,Active,Non-Hazardous,CRM
PRUS00116,Electronics,Laptops,HP,HP Model 581,SUS06048,Active,Non-Hazardous,ERP
PRUS00117,Electronics,Laptops,Lenovo,Lenovo Model 323,SUS09370,Active,Non-Hazardous,ERP
PRUS00118,Appliances,Washing Machines,Whirlpool,Whirlpool Model 388,SUS09227,Active,Non-Hazardous,ERP
