Order_ID,Customer_ID,Order_Date,Warehouse_ID,Publisher
SOUS00001,CUUS05099,04-01-2026,WUS00001,CRM
SOUS00002,CUUS03719,08-02-2026,WUS00002,Web
SOUS00003,CUUS02814,22-02-2026,WUS00003,Web
SOUS00004,CUUS03277,22-02-2026,WUS00004,ERP
SOUS00005,CUUS09943,07-02-2026,WUS00005,CRM
SOUS00006,CUUS00754,16-02-2026,WUS00006,CRM
SOUS00007,CUUS09828,26-01-2026,WUS00007,CRM
SOUS00008,CUUS06575,01-02-2026,WUS00008,ERP
SOUS00009,CUUS08713,22-02-2026,WUS00009,CRM
SOUS00010,CUUS02892,22-01-2026,WUS00010,Web
SOUS00011,CUUS02090,03-02-2026,WUS00011,Web
SOUS00012,CUUS03051,06-01-2026,WUS00012,CRM
SOUS00013,CUUS05307,10-01-2026,WUS00013,CRM
SOUS00014,CUUS05334,07-02-2026,WUS00014,Web
SOUS00015,CUUS04115,10-02-2026,WUS00015,ERP
SOUS00016,CUUS08540,08-01-2026,WUS00016,CRM
SOUS00017,CUUS02163,04-01-2026,WUS00001,CRM
SOUS00018,CUUS05611,11-01-2026,WUS00002,CRM
SOUS00019,CUUS08595,09-02-2026,WUS00003,ERP
SOUS00020,CUUS06680,05-01-2026,WUS00004,ERP
SOUS00021,CUUS03681,20-01-2026,WUS00005,ERP
SOUS00022,CUUS08189,18-01-2026,WUS00006,Web
SOUS00023,CUUS05149,31-01-2026,WUS00007,Web
SOUS00024,CUUS04159,30-01-2026,WUS00008,CRM
SOUS00025,CUUS04126,17-02-2026,WUS00009,ERP
SOUS00026,CUUS09709,27-01-2026,WUS00010,ERP
SOUS00027,CUUS00274,30-01-2026,WUS00011,CRM
SOUS00028,CUUS07033,17-01-2026,WUS00012,ERP
SOUS00029,CUUS01067,18-02-2026,WUS00013,Web
SOUS00030,CUUS06637,02-02-2026,WUS00014,CRM
SOUS00031,CUUS07468,18-02-2026,WUS00015,ERP
SOUS00032,CUUS09713,07-01-2026,WUS00016,Web
SOUS00033,CUUS06664,,WUS00001,CRM
SOUS00034,CUUS05963,27-01-2026,WUS00002,ERP
SOUS00035,CUUS04118,13-01-2026,WUS00003,Web
SOUS00036,CUUS04305,02-01-2026,WUS00004,ERP
SOUS00037,CUUS04862,18-01-2026,WUS00005,ERP
SOUS00038,CUUS00359,11-02-2026,WUS00006,Web
SOUS00039,CUUS08122,19-01-2026,WUS00007,Web
SOUS00040,CUUS04603,18-02-2026,WUS00008,Web
SOUS00041,CUUS06177,13-02-2026,WUS00009,ERP
SOUS00042,CUUS06065,09-02-2026,WUS00010,Web
SOUS00043,CUUS01330,13-02-2026,WUS00011,Web
SOUS00044,CUUS02854,15-02-2026,WUS00012,Web
SOUS00045,CUUS08117,31-01-2026,WUS00013,CRM
SOUS00046,CUUS01097,01-01-2026,WUS00014,ERP
SOUS00047,CUUS07167,12-01-2026,WUS00015,ERP
SOUS00048,CUUS08462,28-01-2026,WUS00016,Web
SOUS00049,CUUS05771,27-01-2026,WUS00001,CRM
SOUS00050,CUUS02515,09-02-2026,WUS00002,CRM
SOUS00051,CUUS08912,05-02-2026,WUS00003,ERP
SOUS00052,CUUS05937,24-02-2026,WUS00004,CRM
SOUS00053,CUUS08344,17-02-2026,WUS00005,Web
SOUS00054,CUUS04147,09-01-2026,WUS00006,CRM
SOUS00055,CUUS08884,20-01-2026,WUS00007,Web
SOUS00056,CUUS01943,20-02-2026,WUS00008,ERP
SOUS00057,CUUS03040,06-02-2026,WUS00009,ERP
SOUS00058,CUUS06853,21-02-2026,WUS00010,Web
SOUS00059,CUUS07601,23-02-2026,WUS00011,Web
SOUS00060,CUUS01504,01-01-2026,WUS00012,Web
SOUS00061,CUUS02598,10-01-2026,WUS00013,CRM
SOUS00062,CUUS04938,23-02-2026,WUS00014,ERP
SOUS00063,CUUS05353,03-02-2026,WUS00015,ERP
SOUS00064,CUUS03331,21-02-2026,WUS00016,Web
SOUS00065,CUUS03574,20-01-2026,WUS00001,ERP
SOUS00066,CUUS04848,08-02-2026,WUS00002,Web
SOUS00067,CUUS06005,13-01-2026,WUS00003,ERP
SOUS00068,CUUS05093,01-01-2026,WUS00004,Web
SOUS00069,CUUS09929,21-01-2026,WUS00005,ERP
SOUS00070,CUUS06812,24-01-2026,WUS00006,ERP
SOUS00071,CUUS00745,23-01-2026,WUS00007,Web
SOUS00072,CUUS09948,31-01-2026,WUS00008,CRM
SOUS00073,CUUS05316,19-02-2026,WUS00009,Web
SOUS00074,CUUS06656,13-01-2026,WUS00010,ERP
SOUS00075,CUUS00816,21-02-2026,WUS00011,ERP
SOUS00076,CUUS09027,05-01-2026,WUS00012,CRM
SOUS00077,CUUS01077,17-01-2026,WUS00013,ERP
SOUS00078,CUUS07885,13-01-2026,WUS00014,CRM
SOUS00079,CUUS09557,10-01-2026,WUS00015,ERP
SOUS00080,CUUS09827,25-01-2026,WUS00016,CRM
SOUS00081,CUUS05242,15-01-2026,WUS00001,CRM
SOUS00082,CUUS08872,16-01-2026,WUS00002,ERP
SOUS00083,CUUS03280,23-01-2026,WUS00003,CRM
SOUS00084,CUUS09875,09-02-2026,WUS00004,CRM
SOUS00085,CUUS02893,22-01-2026,WUS00005,ERP
SOUS00086,CUUS00847,27-01-2026,WUS00006,Web
SOUS00087,CUUS02879,25-02-2026,WUS00007,ERP
SOUS00088,CUUS03892,24-02-2026,WUS00008,Web
SOUS00089,CUUS08204,23-02-2026,WUS00009,ERP
SOUS00090,CUUS00860,21-02-2026,WUS00010,Web
SOUS00091,CUUS08005,14-01-2026,WUS00011,Web
SOUS00092,CUUS03191,22-01-2026,WUS00012,ERP
SOUS00093,CUUS02635,29-01-2026,WUS00013,ERP
SOUS00094,CUUS01385,24-01-2026,WUS00014,CRM
SOUS00095,CUUS00014,19-02-2026,WUS00015,Web
SOUS00096,CUUS09394,30-01-2026,WUS00016,ERP
SOUS00097,CUUS09246,10-01-2026,WUS00001,Web
SOUS00098,CUUS02371,25-01-2026,WUS00002,CRM
SOUS00099,CUUS03903,15-01-2026,WUS00003,CRM
SOUS00100,CUUS04759,03-02-2026,WUS00004,CRM
SOUS00101,CUUS08377,18-01-2026,WUS00005,CRM
SOUS00102,CUUS08841,18-02-2026,WUS00006,ERP
SOUS00103,CUUS09017,18-01-2026,WUS00007,Web
SOUS00104,CUUS02947,20-01-2026,WUS00008,CRM
SOUS00105,CUUS08579,17-02-2026,WUS00009,CRM
SOUS00106,CUUS07725,09-02-2026,WUS00010,CRM
SOUS00107,CUUS00818,16-01-2026,WUS00011,ERP
SOUS00108,CUUS03383,29-01-2026,WUS00012,CRM
SOUS00109,CUUS02555,02-01-2026,WUS00013,ERP
SOUS00110,CUUS05300,22-02-2026,WUS00014,Web
SOUS00111,CUUS05432,02-01-2026,WUS00015,Web
SOUS00112,CUUS05263,24-01-2026,WUS00016,Web
SOUS00113,CUUS04996,01-02-2026,WUS00001,CRM
SOUS00114,CUUS04879,21-02-2026,WUS00002,Web
SOUS00115,CUUS08231,21-02-2026,WUS00003,Web
SOUS00116,CUUS09433,02-02-2026,WUS00004,Web
SOUS00117,CUUS01271,23-02-2026,WUS00005,ERP
SOUS00118,CUUS02929,26-01-2026,WUS00006,ERP
SOUS00119,CUUS06580,19-01-2026,WUS00007,ERP
SOUS00120,CUUS01240,08-01-2026,WUS00008,ERP
SOUS00121,CUUS02510,01-01-2026,WUS00009,CRM
SOUS00122,CUUS09585,24-01-2026,WUS00010,Web
SOUS00123,CUUS02495,17-02-2026,WUS00011,ERP
SOUS00124,CUUS04137,23-01-2026,WUS00012,CRM
SOUS00125,CUUS06967,18-01-2026,WUS00013,Web
SOUS00126,CUUS08217,04-02-2026,WUS00014,ERP
SOUS00127,CUUS03525,10-01-2026,WUS00015,ERP
SOUS00128,CUUS04509,25-01-2026,WUS00016,Web
SOUS00129,CUUS02164,22-02-2026,WUS00001,CRM
SOUS00130,CUUS00125,28-01-2026,WUS00002,CRM
SOUS00131,CUUS05109,10-01-2026,WUS00003,ERP
SOUS00132,CUUS08400,15-02-2026,WUS00004,CRM
SOUS00133,CUUS08112,07-01-2026,WUS00005,Web
SOUS00134,CUUS03665,03-01-2026,WUS00006,ERP
SOUS00135,CUUS03189,09-01-2026,WUS00007,ERP
SOUS00136,CUUS03848,01-02-2026,WUS00008,CRM
SOUS00137,CUUS09453,15-01-2026,WUS00009,ERP
SOUS00138,CUUS05560,22-01-2026,WUS00010,Web
SOUS00139,CUUS04730,10-01-2026,WUS00011,CRM
SOUS00140,CUUS02415,07-02-2026,WUS00012,ERP
SOUS00141,CUUS05192,18-02-2026,WUS00013,CRM
SOUS00142,CUUS02923,25-01-2026,WUS00014,CRM
SOUS00143,CUUS03883,13-02-2026,WUS00015,CRM
SOUS00144,CUUS07515,23-02-2026,WUS00016,CRM
SOUS00145,CUUS05712,05-02-2026,WUS00001,CRM
SOUS00146,CUUS05892,08-02-2026,WUS00002,Web
SOUS00147,CUUS06498,25-02-2026,WUS00003,CRM
SOUS00148,CUUS06857,28-01-2026,WUS00004,ERP
SOUS00149,CUUS03967,20-02-2026,WUS00005,CRM
SOUS00150,CUUS06721,06-01-2026,WUS00006,CRM
SOUS00151,CUUS04111,01-02-2026,WUS00007,CRM
SOUS00152,CUUS09402,17-01-2026,WUS00008,CRM
SOUS00153,CUUS04589,27-01-2026,WUS00009,ERP
SOUS00154,CUUS05160,29-01-2026,WUS00010,CRM
SOUS00155,CUUS07846,17-02-2026,WUS00011,CRM
SOUS00156,CUUS09278,25-01-2026,WUS00012,Web
SOUS00157,CUUS05784,23-01-2026,WUS00013,CRM
SOUS00158,CUUS08115,11-02-2026,WUS00014,ERP
SOUS00159,CUUS00588,16-01-2026,WUS00015,Web
SOUS00160,CUUS05011,16-02-2026,WUS00016,Web
SOUS00161,CUUS07036,19-02-2026,WUS00001,Web
SOUS00162,CUUS09571,20-01-2026,WUS00002,CRM
SOUS00163,CUUS06461,03-01-2026,WUS00003,Web
SOUS00164,CUUS04126,05-02-2026,WUS00004,ERP
