Supplier_ID,Supplier_Name,City,State,Country,Publisher
SUS00001,Key PLC,Los Angeles,California,United States,ERP
SUS00002,Andrews LLC,Los Angeles,California,United States,CRM
SUS00003,"Hoffman, Welch and Ross",New York,New York,United States,CRM
SUS00004,Baldwin Inc,Chicago,Illinois,United States,ERP
SUS00005,Jimenez Ltd,Houston,Texas,United States,CRM
SUS00006,Hill-Burke,Chicago,Illinois,United States,Web
SUS00007,"Humphrey, Brown and Yang",Chicago,Illinois,United States,ERP
SUS00008,Carlson Inc,New York,New York,United States,CRM
SUS00009,Navarro Ltd,Phoenix,Arizona,United States,CRM
SUS00010,"Williams, Williams and Lucas",Houston,Texas,United States,Web
SUS00011,Nguyen PLC,Phoenix,Arizona,United States,CRM
SUS00012,Adkins-Sanchez,Phoenix,Arizona,United States,Web
SUS00013,Henderson-Morris,Chicago,Illinois,United States,Web
SUS00014,Butler LLC,Houston,Texas,United States,ERP
SUS00015,Boyd-Valenzuela,Los Angeles,California,United States,CRM
SUS00016,Decker-Riley,Chicago,Illinois,United States,CRM
SUS00017,"Smith, Gross and Rios",Houston,Texas,United States,Web
SUS00018,Hernandez-Haney,New York,New York,United States,ERP
SUS00019,Hamilton-Meadows,Houston,TN,United States,CRM
SUS00020,Jones-Smith,Houston,Texas,United States,ERP
SUS00021,"Newman, Levy and Fritz",New York,New York,United States,CRM
SUS00022,"Walters, Sutton and Smith",Houston,Texas,United States,CRM
SUS00023,Gutierrez-Caldwell,Phoenix,Arizona,United States,ERP
SUS00024,Reed-Cunningham,Phoenix,Arizona,United States,Web
SUS00025,"Cook, Howell and Hamilton",Chicago,Illinois,United States,CRM
SUS00026,Chavez Inc,Phoenix,Arizona,United States,Web
SUS00027,Travis-Lawrence,New York,New York,United States,CRM
SUS00028,"Moore, Harrison and Thornton",Chicago,Illinois,United States,CRM
SUS00029,"Ochoa, Anderson and Crawford",Chicago,Illinois,United States,ERP
SUS00030,Ramirez-Daniels,Houston,Texas,United States,Web
SUS00031,Lee-Herrera,Los Angeles,California,United States,ERP
SUS00032,"Medina, Rich and Harvey",Los Angeles,California,United States,ERP
SUS00033,Lam Group,New York,New York,United States,ERP
SUS00034,Francis-Watts,Chicago,Illinois,United States,Web
SUS00035,Garza PLC,Chicago,Illinois,United States,Web
SUS00036,Edwards-Hall,Los Angeles,California,United States,CRM
SUS00037,"Lee, Copeland and Kim",Phoenix,Arizona,United States,ERP
SUS00038,"Abbott, Sandoval and Smith",Houston,Texas,United States,CRM
SUS00039,"Morris, Nelson and Sanders",New York,New York,United States,CRM
SUS00040,Hernandez and Sons,Los Angeles,California,United States,ERP
SUS00041,Austin-Howard,New York,New York,United States,CRM
SUS00042,"Johnson, Castro and Bishop",Los Angeles,California,United States,CRM
SUS00043,Barr Ltd,Chicago,Illinois,United States,Web
SUS00044,Phillips and Sons,Los Angeles,California,United States,Web
SUS00045,Lopez-Tate,New York,New York,United States,CRM
SUS00046,"White, Pruitt and Reynolds",New York,New York,United States,ERP
SUS00047,Burns-Velez,Houston,Texas,United States,ERP
SUS00048,Reed-Rodriguez,New York,New York,United States,CRM
SUS00049,Williams Group,Los Angeles,California,United States,CRM
SUS00050,Snow-Dixon,Los Angeles,California,United States,Web
SUS00051,Reynolds LLC,Phoenix,Arizona,United States,Web
SUS00052,"Garcia, Mullins and Cunningham",Houston,Texas,United States,ERP
SUS00053,Munoz LLC,Los Angeles,California,United States,ERP
